"CloudAndHeat","XS","1","1","30","-1","2","","","","","10.95"
"CloudAndHeat","S","2","2","60","-1","3","","","","","21.9"
"CloudAndHeat","M","4","4","120","-1","4","","","","","43.8"
"CloudAndHeat","L","4","8","240","-1","5","","","","","73.0"
"CloudAndHeat","XL","6","16","480","-1","6","","","","","102.2"
